[[154, -639, 2598, -3326, 4850, -5276, 5214, -4541, 7679, -9549, 9095, -7972], [154, -639, 2598, -3326, 4850, -4541, -5276, 5214, -7972, 7679, -9549, 9095], 1.6399269241970926]

[[505, -1586, 1113, -1941, 4285, -4253, 4872, -5523, 6984, -7940, 7979, -8571], [505, -1586, 1113, -1941, 4285, -4253, -5523, 4872, -7940, 6984, 7979, -8571], 1.5955151708379829]

[[-1307, 2118, -4904, 5540, -7980, 3735, 4867, -8749, 6330, -9119, 7185, 4177], [-1307, 2118, 3735, -4904, 4177, -7980, 5540, 4867, -8749, 6330, -9119, 7185], 1.5946887654204727]

[[-614, -485, -2869, 1007, -4050, 3490, -5450, 452, -3712, 6593, -5938, -5576], [-614, -2869, -485, -3712, 452, 1007, -4050, -5450, 3490, -5576, 6593, -5938], 1.535660162909642]

[[1596, 1707, -841, 1821, 3445, -1976, 2610, -958, 7101, -5944, 8509, -7420], [1596, -841, 1707, 1821, -958, 2610, -1976, 3445, -5944, 7101, -7420, 8509], 1.7611401187325655]

[[1476, 1291, 2630, 2018, -1031, 5313, -3140, 7419, -71, -2719, 8613, -6790], [1291, 1476, 2018, -71, 2630, -1031, 5313, -2719, 7419, -3140, -6790, 8613], 1.591261191777606]

[[484, 477, 1123, -5856, 6859, -6862, 7694, -10000, 7120, 5197, -9954, -8238], [477, 484, -5856, 1123, -6862, 5197, -8238, 6859, -9954, 7120, -10000, 7694], 1.5418687167356595]

[[1141, 373, 2781, -1709, 2979, 2635, -2536, 5582, -5082, 8198, -5762, 8725], [1141, 2635, 373, 2781, -1709, 2979, 5582, -2536, 8198, -5082, 8725, -5762], 1.400118462771332]

[[227, 3930, -2476, 5725, -4393, 7577, -5239, 7272, -7828, 9011, 6401, 4578], [227, 3930, 4578, -2476, 5725, -4393, 7272, 6401, -5239, 7577, -7828, 9011], 1.4499954991448374]

[[478, -1154, 1502, -1963, 3079, -1224, -1650, 3976, -4948, 6087, -4411, -2796], [478, -1154, -1224, 1502, -1650, -1963, 3079, -2796, 3976, -4411, 6087, -4948], 1.4050245098039216]

[[-2868, 502, -5868, 2328, -6241, 505, -5876, 4147, -8859, 4550, -5208, 8091], [-2868, 502, 505, -5208, 2328, -5868, 4147, -5876, 4550, -6241, 8091, -8859], 1.381710277852711]

[[3982, 4846, -1989, 8106, 6443, -6856, 8432, -3228, 7981, 5654, 7627, -9013], [3982, -1989, 5654, 4846, -3228, 6443, 7627, -6856, 7981, 8106, -9013, 8432], 1.398797438700609]

[[-3621, -1156, -5476, -332, -5239, -38, -8768, 2561, -7469, 5428, -9201, 3210], [-3621, -1156, -332, -5239, -38, -5476, 2561, -7469, 3210, -8768, 5428, -9201], 1.5561866125760648]

[[-3705, -791, -5283, -407, -8247, 2886, -8642, 906, -5919, 5093, -8967, 5774], [-3705, -791, -407, -5283, 906, -5919, 2886, -8247, 5093, -8642, 5774, -8967], 1.421185083504919]

